Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,9.211,109.0,0.157,6370.0
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,30.91,103.0,0.453,6981.0
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,92.203,109.0,1.868,5354.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.001,1000.0,0.003,334.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.008,375.0,0.003,1000.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.038,264.0,0.009,1112.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,0.132,235.0,0.028,1108.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,0.37,271.0,0.102,981.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,0.837,378.0,0.165,1916.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,1.269,789.0,0.16,6250.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,31.009,102.0,4.607,687.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,8.759,1142.0,2.009,4978.0

