Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,100000,1,100000,750.769,134
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.013,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.02,150
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.073,137
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,0.405,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,1.102,91
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,3.77,84
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,13.157,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,60.171,53
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,120.299,84
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.122,9
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.209,15
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.23,44
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,1.063,30
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,2.997,34
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,9.163,35
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,34.283,30
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,22.896,139
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,38.82,258
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1,1,1,0.012,84
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3,1,3,0.024,125
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10,1,10,0.084,120
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,31,1,31,0.414,75
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,100,1,100,1.305,77
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,3.955,80
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,12.268,82
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,33.87,94
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,93.351,108
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1,1,1,0.032,32
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3,1,3,0.016,188
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10,1,10,0.039,257
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,31,1,31,0.183,170
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,100,1,100,0.477,210
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,1.35,235
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,3.974,252
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,62.508,51
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,72.442,139
