Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,10000,1,10000,47.167,213
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,1,1,1,0.008,125
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,3,1,3,0.004,750
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,10,1,10,0.006,1667
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,31,1,31,0.015,2067
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,100,1,100,0.048,2084
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,316,1,316,0.175,1806
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,1000,1,1000,0.492,2033
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,3162,1,3162,1.351,2341
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,10000,1,10000,3.198,3127
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,1,1,1,0.008,125
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,3,1,3,0.001,3000
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,10,1,10,0.005,2000
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,31,1,31,0.013,2385
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,100,1,100,0.045,2223
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,316,1,316,0.152,2079
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,1000,1,1000,0.336,2977
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,3162,1,3162,0.732,4320
ZK Performance Test-Read,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get,1,10000,1,10000,1.596,6266
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,1,1,1,0.004,250
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,3,1,3,0.002,1500
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,10,1,10,0.005,2000
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,31,1,31,0.013,2385
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,100,1,100,0.046,2174
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,316,1,316,0.185,1709
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,1000,1,1000,0.312,3206
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,3162,1,3162,0.665,4755
ZK Performance Test-Read,Ramdisk,10000,AWS,zookeeper-3.4.5,Get,1,10000,1,10000,1.473,6789
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,1,1,1,0.008,125
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,3,1,3,0.001,3000
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,10,1,10,0.005,2000
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,31,1,31,0.018,1723
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,100,1,100,0.055,1819
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,316,1,316,0.197,1605
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,1000,1,1000,0.34,2942
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,3162,1,3162,0.737,4291
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,10000,1,10000,1.613,6200
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,1,1,1,0.031,33
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,3,1,3,0.002,1500
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,10,1,10,0.005,2000
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,31,1,31,0.015,2067
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,100,1,100,0.05,2000
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,316,1,316,0.169,1870
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,1000,1,1000,0.621,1611
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,3162,1,3162,0.831,3806
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get,1,10000,1,10000,1.738,5754
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.013,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.02,150
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.073,137
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,0.405,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,1.102,91
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,3.77,84
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,13.157,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,60.171,53
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,120.299,84
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.122,9
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.209,15
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.23,44
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,1.063,30
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,2.997,34
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,9.163,35
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,34.283,30
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,22.896,139
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,38.82,258
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1,1,1,0.012,84
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3,1,3,0.024,125
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10,1,10,0.084,120
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,31,1,31,0.414,75
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,100,1,100,1.305,77
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,3.955,80
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,12.268,82
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,33.87,94
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,93.351,108
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1,1,1,0.032,32
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3,1,3,0.016,188
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10,1,10,0.039,257
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,31,1,31,0.183,170
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,100,1,100,0.477,210
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,1.35,235
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,3.974,252
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,62.508,51
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,72.442,139
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.033,31
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.036,84
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.124,81
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.412,76
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,1.388,73
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,7.82,41
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,17.549,57
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,44.126,72
ZK Performance Test-move,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,127.441,79
