Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,3.955,80
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,12.268,82
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,33.87,94
ZK Performance Test-Producer/Consumer,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,93.351,108
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1,1,1,0.032,32
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3,1,3,0.016,188
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10,1,10,0.039,257
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,31,1,31,0.183,170
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,100,1,100,0.477,210
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,1.35,235
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,3.974,252
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,62.508,51
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,72.442,139
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,1,1,1,0.017,59
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,3,1,3,0.031,97
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,10,1,10,0.204,50
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,31,1,31,0.524,60
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,100,1,100,1.32,76
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,316,1,316,4.076,78
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,1000,1,1000,13.848,73
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,3162,1,3162,40.336,79
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,10000,1,10000,126.964,79
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,1,1,1,0.006,167
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,3,1,3,0.007,429
