Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.043,721
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,0.291,344
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,0.709,446
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,1.108,903
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,3.477,910
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,8.832,1133
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,1,1,1,0.024,42
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,3,1,3,0.038,79
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,10,1,10,0.166,61
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,31,1,31,0.424,74
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,100,1,100,1.436,70
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,316,1,316,4.082,78
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,1000,1,1000,10.666,94
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,3162,1,3162,30.098,106
ZK Performance Test-ZKmove,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Move,1,10000,1,10000,91.992,109
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,1,1,1,0.008,125
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,3,1,3,0.01,300
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,10,1,10,0.02,500
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,31,1,31,0.076,408
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,100,1,100,0.207,484
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,316,1,316,0.506,625
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,1000,1,1000,1.001,1000
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,3162,1,3162,2.712,1166
ZK Performance Test-ZKmove,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Move,1,10000,1,10000,7.412,1350
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,1,1,1,0.015,67
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,3,1,3,0.013,231
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,10,1,10,0.047,213
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,31,1,31,0.137,227
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,100,1,100,0.441,227
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,316,1,316,1.038,305
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,1000,1,1000,1.028,973
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,3162,1,3162,2.476,1278
ZK Performance Test-ZKmove,None,None,10000,Local Machine,Zookeeper-3.4.5,Move,1,10000,1,10000,6.736,1485
