Packets,Time,Throughput
1,1.0,1.0
3,3.0,1.0
10,10.0,1.0
31,0.002,15500.0
100,0.004,25000.0
316,0.012,26333.333333333332
1000,0.035,28571.42857142857
3162,0.071,44535.211267605635
10000,0.081,123456.79012345678
31622,0.172,183848.83720930235
100000,0.531,188323.91713747644
316227,1.674,188905.01792114697
1000000,5.243,190730.49780659928
