Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,Localmachine,Zookeeper-3.4.5,Create,1,10000,1,10000,33.587,298.0
ZK Performance Test-Write,Disk,10000,Localmachine,Zookeeper-3.4.5,Create,1,10000,5,50000,63.445,789.0
ZK Performance Test-Write,Disk,10000,Localmachine,Zookeeper-3.4.5,Create,1,10000,10,100000,77.216,1296.0
